ARIA|XLV|t|4308|7.33|24238268
ARIS|XLB|f|2302|47.50|35698
ARKO|XLY|f|493|9.22|3190502
ARKOW|XLP|f|263|1.26|79152
ARLO|XLI|f|608|5.93|7162338
ARLP|XLE|f|5284|5.75|1596692
ARLZ|XLV|t|639|2.66|2173007
ARMK|XLI|f|1776|21.99|58751015
ARMN|XLB|f|2302|74.62|56074
ARNC|XLB|f|1049|22.94|95455580
ARO|XLY|t|3508|13.15|31075618
AROW|XLF|f|5279|11.49|322796
ARR|XLRE|f|3187|31.38|3242761
ARS|XLB|t|1752|15.69|3978333
ARSD|XLE|t|1976|5.64|269750
ARTG|XLK|t|2770|8.54|14891951
ARTT|XLC|t|313|12.76|6767302
ARTX|XLK|t|5020|148.31|13862346
ARUN|XLK|t|2051|16.32|38450091
ARVN|XLV|f|570|28.98|15049989
ARW|XLK|f|5284|42.72|29213997
ARWM|XLB|t|713|2.12|17582
ARWR|XLV|f|4397|20.52|11610470
ARXX|XLK|t|1915|12.12|10688637
ASA|XLF|f|5284|14.23|2413362
ASB|XLF|f|5284|12.91|11629272
ASC|XLI|f|1869|6.88|1544313
ASCL|XLK|t|1338|19.79|19049922
ASFD|XLY|t|550|21.64|605720
ASGN|XLK|f|5284|25.48|7710926
ASH|XLB|f|5284|29.56|36768827
ASHW|XLY|t|2235|6.86|457641
ASIX|XLB|f|1081|23.76|5857352
ASL|XLB|t|1082|5.30|2186532
ASM|XLB|f|4065|1.39|228527
ASML|XLK|f|5284|71.47|79341769
ASNA|XLY|t|5234|160.56|232611228
ASND|XLV|f|1494|63.95|12867219
ASPIY|XLY|t|529|4.83|100455
ASR|XLI|f|5094|51.52|3552995
ASTE|XLI|f|5284|28.52|4387794
ASTSF|XLK|t|2114|11.15|3632471
ASTTY|XLK|t|2289|4.63|423059
ASX|XLK|f|5088|2.13|1952862
ATCM|XLK|t|324|18.64|144048
ATE|XLK|t|3653|8.30|122573
ATEC|XLV|f|3672|24.29|932393
ATEN|XLK|f|1709|6.77|3170267
ATEX|XLC|f|1490|34.43|2784194
ATGC|XLU|t|462|2.04|83438
ATGI|XLY|t|1512|3.36|121857
ATHL|XLE|t|324|39.01|52737490
ATHM|XLC|f|1777|45.90|37693284
ATI|XLI|f|5284|28.31|55412071
ATISW|XLB|t|316|1.60|19038
ATJ|XLB|t|371|1.72|6416
ATKR|XLI|f|1149|23.65|9505477
ATLC|XLF|f|5165|10.31|3568091
ATMI|XLB|t|3602|24.06|8920732
ATML|XLK|t|4088|6.58|50731769
ATNY|XLK|t|2534|3176.07|53552861
ATO|XLU|f|5284|32.38|18747306
